ID_Interno,Authors,Year,Title,DOI,Journal,Ethics_University,Country_Ethics,Country_Affiliation_OfMost,Affiliation_Corr_Author,Research_Aim,Research_Results,Country_Study,Study_Type,Part_of_Bigger_Study,Participants,N_Participants ,Age_Min,Age_Max,Categoría_Edad,Gender,Population_Characteristics,Used_Methods,Brain_Evaluation_YesNo,Brain_Method,Brain_Measure,Physiological_Methods,Types_ACEs,Specific_ACEs,Specific_ACEs_Instruments,Type_ACEs_Instrument,Other_ACEs_Conceptualization,EF_Evaluated,EF_Instrument,Resilience_conceptualization,Justification_Resilience_conceptualization,Other_Resilience_conceptualization,Resilience_Measure,Resilience_Instrument,Comments_Relation_ACEs_EF_Resilience
22,Avci et al,2013,"""Cognitive contributors to resilience in youth from underserved populations: A brief report""",10.1108/JPMH-02-2013-0005,Journal of Public Mental Health,Baylor College of Medicine,USA,USA,"""The protective factors (i.e. individual skills, relationship with caregivers and contextual factors) promoting resilience were correlated with cognitive factors. Further analyses yielded gender differences in these relations. Long-held beliefs that intelligence is positively associated with resilience are brought into question by these findings.""","""identify cognitive factors (e.g., executive functions and intelligence) promoting resilience in youth in an underprivileged population.""","""The protective factors (i.e. individual skills, relationship with caregivers and contextual factors) promoting resilience were correlated with cognitive factors. Further analyses yielded gender differences in these relations.""",USA,Cross sectional,,Underaged; Adults,26,13,19,Adolescents,F=7; M=19,"""...who live with poverty, family dysfunction, and multiple traumas participated in the study. Youth with pre-existing diagnoses of serious neurological disorder or intellectual disability (IQo70) were excluded because of inability to complete the study tasks.""",Quantitative,No,,,,Abuse; Household dysfunction; Community-Level ACEs,poverty; family dysfunction; multiple traumas; natural disaster; disaster/serious accident; physical abuse; sexual abuse; witnessing domestic violence; community violence; familial separation; family's serious illness,"UCLA PTSD Reaction Index Trauma Exposure Screen [PTSDRI] (Pynoos et al., 1998)", Questionnaires,,Working memory; Inhibitory control; Intelligence; Processing speed,Keep Track Task [KTT] (Miyake et al 2000) (working memory); Wechsler Abbreviated Intelligence Scale [WASI] (Psychological Corporation 1999); The Flanker Task [FL] (Eriksen and Eriksen 1974) (baseline reaction time; resistance to distraction); Symbol Digit Modalities Test [SDMT] (Smith 1982) (complex processing speed),Trait,"""resilience is a multi-component construct that feeds on several resources: the capacity of the individual to discover or recognize resources crucial for maintaining well-being, the capacity of the individual’s surroundings to provide those resources; and the capacity of the individual, his family and community to agree on how to share and utilize those resources (Ungar et al., 2008). ........ Resilient outcomes""",,Resilience scale,"Child and Youth Resilience Measure [CYRM-28] (Ungar and Liebenberg, 2009)","""ACEs and EF: Processing speed was marginally related to the CYRM-28 only for male participants. EF and resilience: Correlational analyses indicated that intelligence scores were negatively correlated with the Relationship with Caregivers subscale and marginally, and again, negatively, correlated with the Contextual Factors. Processing speed, as measured by reaction time in the neutral condition of the Flanker Task was marginally associated with the Relationship with Caregivers subscale. Female participants’ intelligence scores were negatively correlated with the subscale of Individual Skills whereas males’ intelligence scores were negatively related to the Contextual Factors subscale. Similarly, working memory as measured with the Keep Track Task was correlated with with the Individual Skills scale only for male participants, albeit marginally."""
4,Dubowitz et al,2016,"""Adversity, Maltreatment, and Resilience in Young Children""",10.1016/j.acap.2015.12.005,ACADEMIC PEDIATRICS, University of Maryland School of Medicine,USA,USA,"""Department of Pediatrics, University of Maryland School of Medicine, Baltimore, MD 21201""","""Examine resilience in high-risk preschoolers, and to probe contributors to their adaptive functioning.""","""Forty-eight percent of the sample appeared resilient. This was associated with no history of maltreatment (odds ratio = 1.50; 95% CI, 1.02–2.20; P = .04), a primary caregiver reporting few depressive symptoms (odds ratio = 2.19; 95% CI, 1.63–2.94; P < .001), and fewer children in the home (P = .03).""",USA,Longitudinal,Longitudinal Studies of Child Abuse and Neglect (LONGSCAN),Underaged,943,4,6,preschoolers,F=482; M=461,"""High risk pre-schoolers: Although each subsample consisted of families at high risk for maltreatment, they were deliberately varied to represent those either at risk for involvement with Child Protective Services (CPS) or who had already been involved with this agency; Black: 513 (55%); White: 247 (26%); Other: 124 (native american, asian, pacific islander, mixed) (13%); Hispanic: 59 (6%)""",Quantitative,No,,,,Abuse; Neglect; Household dysfunction,maltreatment; caregiver depressive symptoms,"Child Protective Services reports [CPS] (Hussey et al., 2005); Center for Epidemiological Studies-Depression Scale [CES-D] (Lewinsohn et al., 1997)",Administrative records; Questionnaires,Maltreatment,Attention,Child Behavior Checklist [CBCL] (Achenbach 1991) (behavioral problems),Outcome,"""In this article, we refer to broad, successful adaptation as “resilience” and to positive functioning in a specific domain or age as “competency.” Variation in resilience is associated with several influences, such as differing early life adversities, childhood temperament and personality, and the social capital available in the home and community. It is also associated with family poverty. / The development of resilience.""",,Behavior; Social and developmental milestones,"Child Behavior Checklist [CBCL] (Achenbach, 1991); Battelle Developmental Inventory Screening Test [BDIST] (Newborg, 1984); Vineland Screener (Sparrow et al., 1993); Loneliness and Social Dissatisfaction Questionnaire (Cassidy & Asher, 1992); Wechsler Preschool and Primary Scale of Intelligence-Revised [WPPSI-R] (Wechsler, 1989)","""El efecto de la conectividad cerebral depende del contexto económico, especialmente en la relación entre el control ejecutivo y el procesamiento interno. Por lo que, el cerebro de los participantes se adapta de diferentes maneras en diferentes niveles socioeconómicos. Ligado a esto, los niños que viven sobre la línea de pobreza se adaptan de mejor manera a los diferentes contextos(resiliencia), a diferencia de los que viven bajo la línea de pobreza."" ""We found that there is not a universally strong link between performance on tests of executive functioning and these more real-world outcome measures. We found that cognitive test scores were more highly correlated with academic performance in children above than below poverty. The lower correlation for children below poverty likely reflects obstacles that hinder their ability to reach their full potential, such as fewer school resources and lower quality of instruction."""
14,Levey et al,2016,"""A qualitative analysis of factor impacting resilience among youth in post‑conflict Liberia""",10.1186/s13034-016-0114-7,Child and Adolescent Psychiatry and Mental Health,University of Liberia,Liberia,USA,"""The Chester M. Pierce, MD Division of Global Psychiatry, Massachusetts General Hospital, 5 Longfellow Place, Boston, MA 02114, USA; Harvard Medical School, 25 Shattuck St., Boston, MA 02115, USA; University of Illinois College of Medicine, 1853 West Polk St, Chicago, IL 60612, USA.""","""Identify factors contributing to resilience among youth in post-conflict Liberia.""","""Youth enrolled in school demonstrated greater adaptive functioning. This was particularly true for boys in any school setting and girls attending private school. Youth not attending school were more likely to have lost family members or become estranged from them, and many were also engaging in substance use. /// Emotion regulation, cognitive flexibility, agency, social intelligence and, in some cases, meaning-making were found in participants who showed resilient outcomes.""",Liberia,Cross sectional,,Underaged,75,13,18,adolescents,F=38; M=37,35 public school students; 11 private school students; 29 children not attending school at the time of the interviews,Qualitative,No,,,,Community-Level ACEs; Household dysfunction,exposure to war-related violence; pandemic (Ebola); parents' death; displacement; poverty; substance abuse,"Semi-structured interviews (Levey et al., 2016)",Interviews,,"Cognitive flexibility, Emotion regulation, agency and social intelligence",Semi-structured interviews (Levey et al 2016) (cognitive flexibility; emotion regulation; agency; social intelligence),Outcome,"""Resilience was defined as evidence of adaptive functioning and psychological health. ...we will define resilience as evidence of daily functioning, ability to make realistic plans for the future, and presentation of an overall consistent and coherent narrative.""",,Behavior; Mental health,"Semi-structured interviews (Levey et al., 2016)","""This study was undertaken in order to capture the needs of Liberian adolescents in their own words and identify the way forward. The goal of this research is to identify factors contributing to resilience among children in post-conflict Liberia. We will assess for the presence of these factors in the participants we interviewed and examine how they interact to promote resilience and adaptive functioning. Considering the findings in the literature reviewed and the observations made about resilience in children exposed to violence, we will define resilience as evidence of daily functioning, ability to make realistic plans for the future, and presentation of an overall consistent and coherent narrative."""
11,Rodman et al,2019,"""Neurobiological markers of resilience to depression and anxiety following childhood maltreatment: The role of neural circuits supporting the cognitive control of emotion""",10.1016/j.biopsych.2019.04.033,Biological Psychiatry,University of Washington,USA,USA," ""Department of Psychology, Harvard University, William James Hall Room 1002, 33 Kirkland Street, Cambridge MA 02138""","""We present a conceptual model of a potential neurobiological mechanism of resilience to depression and anxiety following childhood adversity.""","""Among maltreated youth, those who were better able to recruit prefrontal control regions and modulate amygdala reactivity during reappraisal exhibited lower risk for depression over time. By contrast, no association was observed between neural functioning during reappraisal and depression among youth without a history of maltreatment. // Maltreated children who reported a greater tendency to use reappraisal as a coping strategy in everyday life have lower levels of depressive symptoms than those who did not.""",USA,Longitudinal,,Underaged,151,8,17,children; adolescents,F=76; M=75,White=45.0%; Black=23.2%; Hispanic/latino=10.6%; Asian/PacificIslander=11.3%; Biracial/Other=9.9%; Non-maltreated=72; Maltreated=79,Quantitative,Yes,fMRI,Cognitive reappraisal task while undergoing fMRI. This task assessed neural activation during passive viewing and effortful attempts to regulate emotional responses to negative stimuli using cognitive reappraisal.,,Abuse; Neglect; Household dysfunction,physical abuse; emotional abuse; sexual abuse,"Childhood Experiences of Care and Abuse interview [CECA] (Bifulco et al., 1994); UCLA PTSD Reaction Index Trauma Exposure Screen [PTSDRI] (Pynoos et al., 1998); Violence Exposure Scale for Children–Revised [VEX-R] (Fox and Leavitt, 1995); Childhood Trauma Questionnaire [CTQ] (Bernstein et al., 2003); Juvenile Victimization Questionnaire [JVQ] (Finkelhor et al., 2005)",Interviews; Questionnaires,,Cognitive control,Cognitive reappraisal task (Ochsner et al 2002) (cognitive control of emotion); Emotion Regulation Questionnaire [ERQ)] (Gross and John 2003) (cognitive control; reappraisal tendency),Outcome,"""We utilize the definition that resilience reflects an absence of negative outcomes despite exposure to adversity""",,Mental health,"Children’s Depression Inventory [CDI] (Kovacs, 1992); Screen for Child Anxiety Related Emotional Disorders [SCARED] (Birmaher et al., 1997); neural markers of emotion regulation with fMRI","Among maltreated youth, those who were better able to  recruit prefrontal control regions and modulate amygdala reactivity during reappraisal exhibited lower risk for depression over time. By contrast, no association was observed between neural functioning during reappraisal and depression among youth without a history of maltreatment."
7,Kalia et al,2020,"""Cognitive flexibility and perceived threat from COVID-19 mediante the relationships between Childhood mal treatment and state anxiety""",10.1371/ journal.pone.0243881,Plos One,Miami University,USA,USA,"""Psychology Department, Miami University, Oxford, Ohio, United States of America""","""We examined the relations between adverse childhood experiences, assessed using the Adverse Childhood Experiences Scale (ACEs), perceived threat from COVID-19, and state anxiety in a sample of adults. Additionally, flexibility is implicated in adaptive coping with life’s stressors so we also assessed participants’ cognitive flexibility.""","""Our data indicate that experience with early life adversity in the form of maltreatment is associated with increased perceived threat from COVID-19, which results in higher anxiety levels for the individual. In contrast, childhood maltreatment is associated with reduced flexibility in appraising challenges, which in turn mediates the relationship between maltreatment and anxiety. The findings of this study adds to the limited literature on the impact of early life adversity on cognitive flexibility and highlights the psychological toll of COVID-19 on individuals who have been exposed to adverse childhood experiences.""",USA,Cross sectional,,Adults; Older adults,356,18,80,-,F=159; M=194; NB=2; ND=1,White=80.1%; Asian=5.1%; Hispanic=5.9%; Africanamerican=6.5%; Native american=0.3%; Indianamerican=0.6%; Ethnicity_not_listed=0.6%; no_disclosure=0.3%,Quantitative,No,,,,Abuse; Neglect; Household dysfunction,emotional abuse; physical abuse; sexual abuse; physical neglect; emotional neglect; parents' separation or divorce; physical abuse; physical abuse threatening; family's substance abuse; family's serious illness; parents' jail,"Adverse Childhood Experiences Scale [ACEs] (Felitti et al., 1998)", Questionnaires,,Cognitive flexibility; Cognitive control,Cognitive Flexibility Inventory [CFI] (Dennis & Vander Wal 2010) (cognitive flexibility; cognitive control),Trait,"""Some individuals emerge from stressful life events with increased resilience whereas others develop psychopathologies (including depression and anxiety). This suggests the existence of individual level variability in response to life’s stressors. Considering that stressful life experiences are relatively commonplace, identifying factors that increase vulnerability to life’s stressors or confer resilience in stressful circumstances is essential. /// Psychologists have been interested in identifying factors that enhance an individual’s resilience in the face of stress. Fundamentally, the ability to bounce back from adversity requires adaptation to changing circumstances. Strategies to cope with stressful events must be flexibly applied to changing contextual demands. Cognitive flexibility is an aspect of flexibility. It is a multifaceted construct, exhibiting both trait and state characteristics, and a key component of executive functions. Although difficult to define, one definition of cognitive flexibility refers to the ability to switch flexibly between rules or shift between modes of thinking. In order to exhibit this form of cognitive flexibility, an individual must inhibit irrelevant information and deploy attention resources effectively. The ability to switch between set ways of thinking can be particularly useful when an individual confronts a stressor that they cannot control. /// Cognitive flexibility confers resilience. Cognitive flexibility may allow individuals to respond more adaptively to environmental stressors.""",,Executive function,"Cognitive Flexibility Inventory [CFI] (Dennis & Vander Wal, 2010)","""Childhood maltreatment is associated with reduced flexibility in appraising challenges. And with a reduced flexibility there is a weaker resilience. /// Our data show that experience with early life adversity in the form of maltreatment and household dysfunction was positively correlated with higher anxiety levels during a global pandemic. As such, individuals who reported one or more ACEs for maltreatment and household dysfunction were also more likely to report higher anxiety levels. /// In addition to perceived threat from COVID-19, our data demonstrated that exposure to maltreatment reduced the individual’s ability to flexibly appraise challenges, an aspect of cognitive flexibility measured by CFI-Control. This relation was also observed between household dysfunction and CFI-Control. /// Since CFI-Control is an indicator of the individual’s ability to flexibly view stressors as challenges (i.e. something within one’s control), our data suggests that early life adversity makes it more likely that an individual will view challenging circumstances in their daily life as threatening"""
9,Kiyar et al,2021,"""Reward prospect improves inhibitory control in female university students  with a history of childhood sexual and physical abuse """,10.1016/j.jbtep.2020.101629 ,Journal of Behavior Therapy and Experimental Psychiatry,Ghent University; University of Groningen,Belgium; The Netherlands,Belgium; The Netherlands,"""Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, 9000, Ghent, Belgium""","""Examined the extent to which reward prospect might influence cognitive control in young women with a history of 1)  childhood sexual and/or physical abuse (AG), 2) emotional and/or  physical neglect (NG), or 3) in unaffected comparisons (HC) using a  previously validated rewarded Stroop task (Krebs et al., 2010).""","""A significant group by reward interaction revealed larger performance benefits under  reward prospect (relative to no-reward) for the AG group (childhood sexual and/or physical abuse, AG) relative to both the NG (childhood emotional and/or physical neglect, NG) and HC (unaffected comparison women, HC) groups.""",,Cross sectional,,Adults,98,18,35,-,F=98; M=0,"Young women with a history of ACEs, Women were predominantly of Caucasian ethnicity, with 8 participants being from other countries. 28: Abuse group (AG) (age = 21.61, SD = 2.53); 30: neglect group (NG) (Mage = 21.23,  SD = 3.5); 40: healthy comparison group (HC) (Mage = 21.05, SD = 3.04);",Quantitative,No,,,,Abuse; Neglect,sexual abuse; physical abuse; emotional neglect; physical neglect; neglect,"Childhood Trauma Questionnaire Short Form [CTQ-SF]  (Bernstein et al., 1994); Childhood Maltreatment Questionnaire [CMQ] (Bernstein et al., 1994)",Questionnaires,,Inhibitory control; Cognitive control,Rewarded Stroop task (Stroop 1935) (inhibitory control; cognitive control),Trait,"""filled out questionnaires on depression, anxiety, and resilience.""",,Resilience scale,"Resilience Scale [RS] (Wagnild & Young, 1993)","The resilience scale did not show differences among groups, and this data was also not included in any of the analysis. So basically they relate EF with ACEs, and show: larger performance benefits under  reward prospect (relative to no-reward) for the AG group relative to both the NG and HC groups. "
1,Li et al,2022,"""Elder Abuse and Cognitive Function among Community-Dwelling Older Adults: Does Abuse History Matter?""",10.1016/j.socscimed.2022.114835,Social Science & Medicine,Rush University Medical Center,USA,USA," ""Institute for Health, Health Care Policy and Aging Research, Rutgers, The State University of New Jersey, New Brunswick, New Jersey""","""Examine the relationship between cumulative interpersonal violence and cognitive function""","""Older adults with EA (Elder Abuse) and abuse history (b=0.147, SE=0.052, p<.01) or abuse history only (b=0.118, SE=0.046, p<.01) had higher global cognition than the EA only group.""",USA,Cross sectional,PINE Study,Older adults,3157,60,NaN,-,F=1814; M=1320,"Chinese; No Interpersonal Violence n=2,181; Abuse History Only n=310; EA (Elder Abuse) Only n=439 ; EA and Abuse History n=204",Quantitative,No,,,,Abuse,physical abuse; insults; physical abuse threatening; screaming; curses; sexual abuse,"56-item modified Conflict Tactics Scale [CTS] (Straus et al., 1996); Unmet needs assessment (Moon et al., 2002); Financial Exploitation measure (Conrad et al., 2009); Extended Hurt Insult Threaten Scream scale [E-HITS] (Chan et al., 2010)",Interviews,,Working memory; Attention,"Mini-Mental State Examination [MMSE] (Folstein et al 1975) (global cognition); East Boston Story Test (Albert et al 1991) (episodic memory); Wechsler Memory Scale-Revised [DB] (Wechsler, 1987) (working memory); Symbol Digit Modalities Test [SDMT] (Smith 1982) (processing speed)",Outcome,"""The stress inoculation hypothesis indicates that adverse experiences may foster resilience,  manifested as a less negative health outcome when confronting subsequent stressors  (Meichenbaum, 1985). Exposure to the same stressor could reduce the subsequent impact  of the stressor through developing tolerance (Eysenck, 1983). Individuals may use their  past exposure to similar events to shift trauma from “outside the realm of an individual’s  experience” to the “normative” range of experiences that people deal with during their lives  (Norris & Murrell, 1988). Individuals might actually be more, rather than less, resilient to repeated exposures to trauma. On the other hand, sheltering from stressors may lead to a lack of toughness (Dienstbier, 1989).""",,Executive function; Cognitive function,,"Our findings reveals that abuse history makes older adults more silient in response to EA in later life, manifesting by better global cognition and cognitive domains(episodic memory, working memory, and proccessing speed). / The finding showed that older adults with EA (Elder Abuse) and abuse history had significantly higher global cognition, episodic memory, working memory, and processing speed than the EA-only group. Older adults with abuse history only had higher global cognition, episodic memory, and processing speed than the EAonly group. The relationship between interpersonal violence and cognitive function differs regarding different subtypes of abuse. / Our finding reveals that abuse history makes older adults more resilient in response to EA (Elder Abuse) in later life, manifesting by better global cognition and cognitive domains (episodic memory, working memory, and processing speed) even controlling medical comorbidities and depressive symptoms."
3,Ellwood-Lowe et al,2022,"""Exploring neural correlates of behavioral and academic resilience among children in poverty""",10.1016/j.dcn.2022.101090,Developmental Cognitive Neuroscience,University of California San Diego,USA,USA," ""Department of Psychology, University of California, Berkeley, USA""","""Focus on patterns of brain activation that support behavioral performance in childhood, and where they diverge as a function of family income, a proxy for resource access""","""Network connectivity is differentially related to performance in real-world settings for children above and below poverty.""",USA,Longitudinal,Adolescent Brain Cognitive Development (ABCD) Study,Underaged,8.366,8,13,children; adolescents,F=6527; M=6606,Above poverty 7063; Below poverty 4087,Quantitative,Yes,fMRI; MRI,"""Characterize longitudinal changes in LFPN-DMN resting-state functional connectivity (and test whether they varied as a function of poverty status).""",,Neglect,Poverty,"Estimated Poverty status (Ellwood-Lowe et al., 2021)",Questionnaires,Maltreatment,Working memory; Inhibitory control; Cognitive flexibility; Attention,"Picture Sequence Memory Test [PSMT] [NIH Toolbox] (Luciana et al 2018) (working memory); List Sorting Working Memory Test [NIH Toolbox] (Luciana et al 2018) (working memory); Dimensional Card Sort [NIH Toolbox] (Luciana et al 2018) (cognitive flexibility); Flanker tasks [NIH Toolbox] (Luciana et al 2018) (inhibitory control); Pattern Comparison Processing Speed Test [NIH Toolbox] (Luciana et al 2018) (processing speed); Matrix Reasoning Task [WISC-V] (Wechsler, 2014) (abstract reasoning); Child Behavior Checklist [CBCL] (Achenbach and Ruffle 2000) (attention problems)",Outcome,"""In this study, we sought to investigate trajectories of LFPN and DMN,  as well as CON, network coupling over middle childhood and early  adolescence, and their relation to academic and behavioral resilience.""",,Behavior; Academic performance,EF instruments (unspecified),
19,York et al,2022,"""Examining the Relationships Between Adverse Childhood Experiences, Student Generational Status, and Exam Performance in Emerging Adult Undergraduates""",10.1177/21676968221119729,Emerging Adulthood,University of Victoria,Canada,Canada," ""Department of Psychology, University of Victoria, PO Box 1700 STN CSC, Victoria, BC V8W 2Y2, Canada""","""Understand how adverse childhood experiences (ACEs) correlated with undergraduates’ examination performance, while looking at the contributions of attentional control and resilience.""","""Participants with no (0) and high (4+) ACE burden had higher resilience compared to those with moderate (1–3) ACE burden. Higher examination scores related to greater levels of attentional control, but no relationship was found with resilience or ACEs. """,Canada,Cross sectional,Parent study examining the impact of self-regulation training on undergraduate students,Adults,488,18,25,-,F=355; M=133,Caucasian=75.2%; Asian=19.1%; MiddleEastern=2.5%; Hispanic=1.8%; Other=1.2%,Quantitative,No,,,,Abuse; Neglect; Household dysfunction,emotional abuse; physical abuse; sexual abuse; neglect; witnessing domestic violence; parents' separation or divorce; family's substance abuse; family's serious illness; parents' jail,"Modified ACE questionnaire (York et al., 2022 based on Felitti et al., 1998)",Questionnaires,,Attention,Attentional Control Scale [ACS] (Derryberry & Reed 2002) (attentional control),Trait,"""The Brief Resilience Scale (BRS; Smith et al., 2008) is a six-item, self-report questionnaire, where resilience is defined as the ability to bounce back from stress.” ""Resilience is recognized as an internal dispositional trait, but it can be influenced externally (Pooley & Cohen, 2010), including through social support and economic privilege.""",,Resilience scale,"Brief Resilience Scale [BRS] (Smith et al., 2008)","""Las ACEs influyen en la resiliencia, afectando de distinta manera a los participantes dependiendo del nivel de adversidad. Sin embargo, las experiencia adversas no influyen directamente en la atención."""
6,Lor et al,2023,"""What is the association between adverse childhood experiences and late-life cognitive decline? Study of Healthy Aging in Africa Americans(STAR) cohorte study""",10.1136/bmjopen-2023-072961,BMJ Open,Kaiser Permanente Northern California,USA,USA,"""Department of Public Health Sciences, University of California Davis, Davis, California, USA""","""Examine the association between total number of ACEs as well as the specific ACEs experienced with cognitive change in a cohort of middle-aged and older black adults.""","""There were no significant associations between number of ACEs and baseline or longitudinal verbal episodic memory or between individual ACEs and executive function or verbal episodic memory.""",USA,Longitudinal,Study of Healthy Aging in African Americans (STAR) cohort study,Adults; Older adults,707,50,NaN,-,F=487; M=220,Black / African American,Quantitative,No,,,,Household dysfunction,parents' separation or divorce; parent remarrying; witnessing domestic violence; family' substance abuse; parents’ loss of a job; parents’ jail; family' serious illness; parents’ death,"REasons for Geographic and Racial Disparities in Stroke [REGARDS] (Howard et al., 2005)",Interviews,,Working memory,Spanish and English Neuropsychological Assessment Scales [SENAS] (Mungas et al 2004) (executive function; category fluency; phonemic/letter fluency; working memory; digit span backward; two list sorting; verbal episodic memory),Outcome,"""Another explanation for our findings is resiliency through selection and survival bias of only the healthiest individuals that chose to participate in the study. Black participants in STAR may be exceptional in that they overcame the negative effects of early childhood adversity, survived long enough and were healthy enough to enrol in a study on cognitive ageing. It is also important to consider that STAR consists of older black individuals who’s early life corresponded with de jure and de facto policies that upheld and endorsed racism in education, access to healthcare, SES and discrimination, which may further affirm that only the most resilient individuals had the opportunity to live into old age."" ""These results may indicate that participants who survived to age 50+ and experienced"" ""ACEs may have cognitive resilience that warrants further investigation"" ""Based on the Cl theory, we hypothesise a dose-response relationship where each additional"" ""ACE experienced is associated with faster cognitive decline, and all types of ACEs predict worse cognitive outcomes.""  ""Although ACEs could influence a child's development into adulthood through increased toxic stress pathways, these experiences may only partially contribute to cognitive functioning in late life""",,Cognitive function; Executive function,"Spanish and English Neuropsychological Assessment Scales [SENAS] subscale Digit span backward (Mungas et al., 2004); Spanish and English Neuropsychological Assessment Scales [SENAS] subscale Two list sorting (Mungas et al., 2004)","ACEs were not associated with executive functions or verbal episodic memory. Who experienced multiple ACEs showed a slower decline in executive functions that those who did not experiences any ACEs. And participants with ACEs we're healthy enough to enroll in a study on cognitive ageing, which may further affirm that only the most resilient individuals had the opportunity to live into old age. / In this cohort of older black Americans, there was no association between ACEs and baseline cognition or cognitive change in verbal episodic memory; however, experiencing   greater than or equal to 2. / ACEs was associated with less decline in executive function. These results may indicate that participants who survived to age 50+ and experienced ACEs may have cognitive resilience that warrants further investigation."
